season_end,pick,team,player_name,player_slug,canonical_name
2016,1,PHI,Ben Simmons,simmobe01,ben simmons
2016,2,LAL,Brandon Ingram,ingrabr01,brandon ingram
2016,3,BOS,Jaylen Brown,brownja02,jaylen brown
2016,4,PHO,Dragan Bender,bendedr01,dragan bender
2016,5,MIN,Kris Dunn,dunnkr01,kris dunn
2016,6,NOP,Buddy Hield,hieldbu01,buddy hield
2016,7,DEN,Jamal Murray,murraja01,jamal murray
2016,8,SAC,Marquese Chriss,chrisma01,marquese chriss
2016,9,TOR,Jakob Poeltl,poeltja01,jakob poeltl
2016,10,MIL,Thon Maker,makerth01,thon maker
2016,11,ORL,Domantas Sabonis,sabondo01,domantas sabonis
2016,12,UTA,Taurean Prince,princta02,taurean prince
2016,13,PHO,Georgios Papagiannis,papagge01,georgios papagiannis
2016,14,CHI,Denzel Valentine,valende01,denzel valentine
2016,15,DEN,Juancho HernangÃ³mez,hernaju01,juancho hernanga3mez
2016,16,BOS,Guerschon Yabusele,yabusgu01,guerschon yabusele
2016,17,MEM,Wade Baldwin,baldwwa01,wade baldwin
2016,18,DET,Henry Ellenson,ellenhe01,henry ellenson
2016,19,DEN,Malik Beasley,beaslma01,malik beasley
2016,20,IND,Caris LeVert,leverca01,caris levert
2016,21,ATL,DeAndre' Bembry,bembrde01,deandre bembry
2016,22,CHO,Malachi Richardson,richama01,malachi richardson
2016,23,BOS,Ante Å½iÅ¾iÄ,zizican01,ante a12ia34ia
2016,24,PHI,TimothÃ© Luwawu-Cabarrot,luwawti01,timotha luwawu cabarrot
2016,25,LAC,Brice Johnson,johnsbr02,brice johnson
2016,26,PHI,Furkan Korkmaz,korkmfu01,furkan korkmaz
2016,27,TOR,Pascal Siakam,siakapa01,pascal siakam
2016,28,PHO,Skal LabissiÃ¨re,labissk01,skal labissia re
2016,29,SAS,Dejounte Murray,murrade01,dejounte murray
2016,30,GSW,Damian Jones,jonesda03,damian jones
2016,31,BOS,Deyonta Davis,davisde01,deyonta davis
2016,32,LAL,Ivica Zubac,zubaciv01,ivica zubac
2016,33,LAC,Cheick Diallo,diallch01,cheick diallo
2016,34,PHO,Tyler Ulis,ulisty01,tyler ulis
2016,35,BOS,Rade Zagorac,zagorra01,rade zagorac
2016,36,MIL,Malcolm Brogdon,brogdma01,malcolm brogdon
2016,37,HOU,Chinanu Onuaku,onuakch01,chinanu onuaku
2016,38,MIL,Patrick McCaw,mccawpa01,patrick mccaw
2016,39,NOP,David Michineau,michida01,david michineau
2016,40,NOP,Diamond Stone,stonedi01,diamond stone
2016,41,ORL,Stephen Zimmerman,zimmest01,stephen zimmerman
2016,42,UTA,Isaiah Whitehead,whiteis01,isaiah whitehead
2016,43,HOU,Zhou Qi,qizh01,zhou qi
2016,44,ATL,IsaÃ¯a Cordinier,cordiis01,isaa a cordinier
2016,45,BOS,Demetrius Jackson,jacksde01,demetrius jackson
2016,46,DAL,A.J. Hammons,hammoaj01,aj hammons
2016,47,ORL,Jake Layman,laymaja01,jake layman
2016,48,CHI,Paul Zipser,zipsepa01,paul zipser
2016,49,DET,Michael Gbinije,gbinimi01,michael gbinije
2016,50,IND,Georges Niang,niangge01,georges niang
2016,51,BOS,Ben Bentil,bentibe01,ben bentil
2016,52,UTA,Joel Bolomboy,bolomjo01,joel bolomboy
2016,53,DEN,Petr Cornelie,cornepe01,petr cornelie
2016,54,ATL,Kay Felder,feldeka01,kay felder
2016,55,BRK,Marcus Paige,paigema01,marcus paige
2016,56,DEN,Daniel Hamilton,hamilda02,daniel hamilton
2016,57,MEM,Wang Zhelin,sheliwa01,wang zhelin
2016,58,BOS,Abdel Nader,naderab01,abdel nader
2016,59,SAC,Isaiah Cousins,cousiis01,isaiah cousins
2016,60,UTA,Tyrone Wallace,wallaty01,tyrone wallace
2017,1,PHI,Markelle Fultz,fultzma01,markelle fultz
2017,2,LAL,Lonzo Ball,balllo01,lonzo ball
2017,3,BOS,Jayson Tatum,tatumja01,jayson tatum
2017,4,PHO,Josh Jackson,jacksjo02,josh jackson
2017,5,SAC,De'Aaron Fox,foxde01,deaaron fox
2017,6,ORL,Jonathan Isaac,isaacjo01,jonathan isaac
2017,7,MIN,Lauri Markkanen,markkla01,lauri markkanen
2017,8,NYK,Frank Ntilikina,ntilila01,frank ntilikina
2017,9,DAL,Dennis Smith Jr.,smithde03,dennis smith
2017,10,SAC,Zach Collins,colliza01,zach collins
2017,11,CHO,Malik Monk,monkma01,malik monk
2017,12,DET,Luke Kennard,kennalu01,luke kennard
2017,13,DEN,Donovan Mitchell,mitchdo01,donovan mitchell
2017,14,MIA,Bam Adebayo,adebaba01,bam adebayo
2017,15,POR,Justin Jackson,jacksju01,justin jackson
2017,16,CHI,Justin Patton,pattoju01,justin patton
2017,17,MIL,D.J. Wilson,wilsodj01,dj wilson
2017,18,IND,T.J. Leaf,leaftj01,tj leaf
2017,19,ATL,John Collins,collijo01,john collins
2017,20,POR,Harry Giles,gilesha01,harry giles
2017,21,OKC,Terrance Ferguson,fergute01,terrance ferguson
2017,22,BRK,Jarrett Allen,allenja01,jarrett allen
2017,23,TOR,OG Anunoby,anunoog01,og anunoby
2017,24,UTA,Tyler Lydon,lydonty01,tyler lydon
2017,25,ORL,AnÅ¾ejs PaseÄÅiks,pasecan01,ana34ejs paseaaiks
2017,26,POR,Caleb Swanigan,swanica01,caleb swanigan
2017,27,BRK,Kyle Kuzma,kuzmaky01,kyle kuzma
2017,28,LAL,Tony Bradley,bradlto01,tony bradley
2017,29,SAS,Derrick White,whitede01,derrick white
2017,30,UTA,Josh Hart,hartjo01,josh hart
2017,31,CHO,Frank Jackson,jacksfr01,frank jackson
2017,32,PHO,Davon Reed,reedda01,davon reed
2017,33,ORL,Wes Iwundu,iwundwe01,wes iwundu
2017,34,SAC,Frank Mason III,masonfr01,frank mason
2017,35,ORL,Ivan Rabb,rabbiv01,ivan rabb
2017,36,PHI,Jonah Bolden,boldejo01,jonah bolden
2017,37,BOS,Semi Ojeleye,ojelese01,semi ojeleye
2017,38,CHI,Jordan Bell,belljo01,jordan bell
2017,39,PHI,Jawun Evans,evansja01,jawun evans
2017,40,NOP,Dwayne Bacon,bacondw01,dwayne bacon
2017,41,ATL,Tyler Dorsey,dorsety01,tyler dorsey
2017,42,UTA,Thomas Bryant,bryanth01,thomas bryant
2017,43,HOU,Isaiah Hartenstein,harteis01,isaiah hartenstein
2017,44,NYK,Damyean Dotson,dotsoda01,damyean dotson
2017,45,HOU,Dillon Brooks,brookdi01,dillon brooks
2017,46,PHI,Sterling Brown,brownst02,sterling brown
2017,47,IND,Ike Anigbogu,anigbik01,ike anigbogu
2017,48,MIL,Sindarius Thornwell,thornsi01,sindarius thornwell
2017,49,DEN,Vlatko ÄanÄar,cancavl01,vlatko aanaar
2017,50,PHI,Mathias Lessort,lessoma01,mathias lessort
2017,51,DEN,Monte Morris,morrimo01,monte morris
2017,52,NOP,Edmond Sumner,sumneed01,edmond sumner
2017,53,BOS,Kadeem Allen,allenka01,kadeem allen
2017,54,PHO,Alec Peters,peteral01,alec peters
2017,55,UTA,Nigel Williams-Goss,willini01,nigel williams goss
2017,56,BOS,Jabari Bird,birdja01,jabari bird
2017,57,BRK,Sasha Vezenkov,vezenal01,sasha vezenkov
2017,58,NYK,Ognjen Jaramaz,jaramog01,ognjen jaramaz
2017,59,SAS,Jaron Blossomgame,blossja01,jaron blossomgame
2017,60,ATL,Alpha Kaba,kabaal01,alpha kaba
2018,1,PHO,Deandre Ayton,aytonde01,deandre ayton
2018,2,SAC,Marvin Bagley III,baglema01,marvin bagley
2018,3,ATL,Luka DonÄiÄ,doncilu01,luka donaia
2018,4,MEM,Jaren Jackson Jr.,jacksja02,jaren jackson
2018,5,DAL,Trae Young,youngtr01,trae young
2018,6,ORL,Mo Bamba,bambamo01,mo bamba
2018,7,CHI,Wendell Carter Jr.,cartewe01,wendell carter
2018,8,CLE,Collin Sexton,sextoco01,collin sexton
2018,9,NYK,Kevin Knox,knoxke01,kevin knox
2018,10,PHI,Mikal Bridges,bridgmi01,mikal bridges
2018,11,CHO,Shai Gilgeous-Alexander,gilgesh01,shai gilgeous alexander
