draft_year,pick,player_slug,player_name,canonical_name,war_first4,cost_first4,bucket,cost_per_war_per_season,war_per_season
2016,1,simmobe01,Ben Simmons,ben simmons,17.26836993085664,26886130.0,01-05,389239.5476187579,4.31709248271416
2016,2,ingrabr01,Brandon Ingram,brandon ingram,2.12516307418549,23823685.0,01-05,2802571.3990361528,0.5312907685463725
2016,3,brownja02,Jaylen Brown,jaylen brown,13.1652276851751,21404269.0,01-05,406454.5922001523,3.291306921293775
2016,5,dunnkr01,Kris Dunn,kris dunn,4.93918249260736,17662527.0,01-05,894000.526728669,1.23479562315184
2016,6,hieldbu01,Buddy Hield,buddy hield,12.658664931986667,15898648.0,06-10,313987.4561302739,3.164666232996667
2016,7,murraja01,Jamal Murray,jamal murray,21.86903042376878,14510706.0,06-10,165881.90832901257,5.467257605942195
2016,9,poeltja01,Jakob Poeltl,jakob poeltl,12.04189916793981,12353486.0,06-10,256468.80586929663,3.0104747919849526
2016,11,sabondo01,Domantas Sabonis,domantas sabonis,10.158880112049,11289355.0,11-20,277819.8697957414,2.53972002801225
2016,12,princta02,Taurean Prince,taurean prince,1.672519625980177,10853946.0,11-20,1622394.4148994763,0.4181299064950442
2016,14,valende01,Denzel Valentine,denzel valentine,2.49041226478945,10030969.0,11-20,1006958.6812816372,0.6226030661973625
2016,15,hernaju01,Juancho HernangÃ³mez,juancho hernanga3mez,3.9570212237876974,0.0,11-20,0.0,0.9892553059469243
2016,16,yabusgu01,Guerschon Yabusele,guerschon yabusele,0.081198451,4915080.0,11-20,15132924.149008704,0.02029961275
2016,19,beaslma01,Malik Beasley,malik beasley,3.246153109803296,7833514.0,11-20,603292.0918257827,0.811538277450824
2016,20,leverca01,Caris LeVert,caris levert,8.99608603048992,7593598.0,11-20,211025.04951218376,2.24902150762248
2016,21,bembrde01,DeAndre' Bembry,deandre bembry,0.3255889965373481,7373022.0,21-30,5661295.435666118,0.08139724913433702
2016,23,zizican01,Ante Å½iÅ¾iÄ,ante a12ia34ia,0.266124506505723,0.0,21-30,0.0,0.06653112662643075
2016,24,luwawti01,TimothÃ© Luwawu-Cabarrot,timotha luwawu cabarrot,0.70522978315598,0.0,21-30,0.0,0.176307445788995
2016,25,johnsbr02,Brice Johnson,brice johnson,0.279562789,2605080.0,21-30,2329601.8841763665,0.06989069725
2016,26,korkmfu01,Furkan Korkmaz,furkan korkmaz,3.59823188936152,5100564.0,21-30,354379.8841231059,0.89955797234038
2016,27,siakapa01,Pascal Siakam,pascal siakam,16.34498345069545,6637781.0,21-30,101526.27287789596,4.086245862673863
2016,29,murrade01,Dejounte Murray,dejounte murray,5.89332525883467,6359377.0,21-30,269770.3215373474,1.4733313147086675
2016,32,zubaciv01,Ivica Zubac,ivica zubac,6.83214837723706,10374000.0,31-45,379602.41154025093,1.708037094309265
2016,36,brogdma01,Malcolm Brogdon,malcolm brogdon,16.745572362405042,24014902.0,31-45,358526.14470669127,4.1863930906012605
2016,50,niangge01,Georges Niang,georges niang,0.70733293744657,3807958.0,46-60,1345886.0030421116,0.1768332343616425
2016,52,bolomjo01,Joel Bolomboy,joel bolomboy,0.031584259,600000.0,46-60,4749201.176446786,0.00789606475
2016,55,paigema01,Marcus Paige,marcus paige,0.01989704,543471.0,46-60,6828540.828183488,0.00497426
2016,56,hamilda02,Daniel Hamilton,daniel hamilton,0.0720884649999999,1349383.0,46-60,4679607.895659874,0.018022116249999973
2017,2,balllo01,Lonzo Ball,lonzo ball,11.160306648332408,35878055.0,01-05,803697.7865066315,2.790076662083102
