draft_year,pick,player_slug,player_name,canonical_name,war_first4,cost_first4
2016,1,simmobe01,Ben Simmons,ben simmons,17.26836993085664,26886130.0
2016,2,ingrabr01,Brandon Ingram,brandon ingram,2.12516307418549,23823685.0
2016,3,brownja02,Jaylen Brown,jaylen brown,13.1652276851751,21404269.0
2016,4,bendedr01,Dragan Bender,dragan bender,-3.140724961773682,15085254.0
2016,5,dunnkr01,Kris Dunn,kris dunn,4.93918249260736,17662527.0
2016,6,hieldbu01,Buddy Hield,buddy hield,12.658664931986669,15898648.0
2016,7,murraja01,Jamal Murray,jamal murray,21.86903042376878,14510706.0
2016,8,chrisma01,Marquese Chriss,marquese chriss,-2.37844214846708,9875869.0
2016,9,poeltja01,Jakob Poeltl,jakob poeltl,12.04189916793981,12353486.0
2016,10,makerth01,Thon Maker,thon maker,-2.060421220102132,11737683.0
2016,11,sabondo01,Domantas Sabonis,domantas sabonis,10.158880112049,11289355.0
2016,12,princta02,Taurean Prince,taurean prince,1.672519625980177,10853946.0
2016,13,papagge01,Georgios Papagiannis,georgios papagiannis,-1.005549584,5477539.0
2016,14,valende01,Denzel Valentine,denzel valentine,2.49041226478945,10030969.0
2016,15,hernaju01,Juancho HernangÃ³mez,juancho hernanga3mez,3.9570212237876983,0.0
2016,16,yabusgu01,Guerschon Yabusele,guerschon yabusele,0.081198451,4915080.0
2016,17,baldwwa01,Wade Baldwin,wade baldwin,-1.9801081059999999,5113554.0
2016,18,ellenhe01,Henry Ellenson,henry ellenson,-0.9520693820218691,3903431.0
2016,19,beaslma01,Malik Beasley,malik beasley,3.246153109803296,7833514.0
2016,20,leverca01,Caris LeVert,caris levert,8.99608603048992,7593598.0
2016,21,bembrde01,DeAndre' Bembry,deandre bembry,0.3255889965373481,7373022.0
2016,22,richama01,Malachi Richardson,malachi richardson,-1.346633196,6147880.0
2016,23,zizican01,Ante Å½iÅ¾iÄ,ante a12ia34ia,0.266124506505723,0.0
2016,24,luwawti01,TimothÃ© Luwawu-Cabarrot,timotha luwawu cabarrot,0.70522978315598,0.0
2016,25,johnsbr02,Brice Johnson,brice johnson,0.279562789,2605080.0
2016,26,korkmfu01,Furkan Korkmaz,furkan korkmaz,3.5982318893615197,5100564.0
2016,27,siakapa01,Pascal Siakam,pascal siakam,16.34498345069545,6637781.0
2016,28,labissk01,Skal LabissiÃ¨re,skal labissia re,-0.07974659295092695,0.0
2016,29,murrade01,Dejounte Murray,dejounte murray,5.89332525883467,6359377.0
2016,30,jonesda03,Damian Jones,damian jones,-1.066177816689752,6334179.0
2016,31,davisde01,Deyonta Davis,deyonta davis,-0.439877941,2707277.0
2016,32,zubaciv01,Ivica Zubac,ivica zubac,6.8321483772370595,10374000.0
2016,33,diallch01,Cheick Diallo,cheick diallo,-0.588986985472248,5079887.0
2016,34,ulisty01,Tyler Ulis,tyler ulis,-0.030398818999999983,2230980.0
2016,35,zagorra01,Rade Zagorac,rade zagorac,0.0,950000.0
2016,36,brogdma01,Malcolm Brogdon,malcolm brogdon,16.745572362405042,24014902.0
2016,37,onuakch01,Chinanu Onuaku,chinanu onuaku,-0.296339127,4945984.0
2016,38,mccawpa01,Patrick McCaw,patrick mccaw,-2.322160872569338,6633747.0
2016,39,michida01,David Michineau,david michineau,0.0,0.0
2016,40,stonedi01,Diamond Stone,diamond stone,-0.281349006,1856082.0
2016,41,zimmest01,Stephen Zimmerman,stephen zimmerman,-0.57679541,2262611.0
2016,42,whiteis01,Isaiah Whitehead,isaiah whitehead,-0.12128085800000002,3931707.0
2016,43,qizh01,Zhou Qi,zhou qi,-0.437398206,3572099.0
2016,44,cordiis01,IsaÃ¯a Cordinier,isaa a cordinier,0.0,0.0
2016,45,jacksde01,Demetrius Jackson,demetrius jackson,-0.296348187,1450000.0
2016,46,hammoaj01,A.J. Hammons,aj hammons,-0.515632351,1962611.0
2016,47,laymaja01,Jake Layman,jake layman,-0.097773435831737,7039548.0
2016,48,zipsepa01,Paul Zipser,paul zipser,-1.6860962050000001,5152513.0
2016,49,gbinimi01,Michael Gbinije,michael gbinije,-0.084070565,1962611.0
2016,50,niangge01,Georges Niang,georges niang,0.70733293744657,3807958.0
2016,51,bentibe01,Ben Bentil,ben bentil,-0.123410714,1086942.0
2016,52,bolomjo01,Joel Bolomboy,joel bolomboy,0.031584259,600000.0
2016,53,cornepe01,Petr Cornelie,petr cornelie,0.0,0.0
2016,54,feldeka01,Kay Felder,kay felder,-0.850187608,543471.0
