canonical_name,season_end,salary
aaron brooks,2016,2250000.0
aaron brooks,2017,2700000.0
aaron brooks,2018,1471382.0
aaron gordon,2016,4171680.0
aaron gordon,2017,4351320.0
aaron gordon,2019,21590909.0
aaron gordon,2020,19863636.0
aaron gordon,2021,22102631.0
aaron gordon,2022,18974611.0
aaron gordon,2023,21938322.0
aaron gordon,2024,21898084.0
aaron harrison,2016,525093.0
aaron harrison,2017,874636.0
aaron harrison,2018,91442.0
aaron henry,2022,258256.0
aaron holiday,2019,1911960.0
aaron holiday,2020,2329200.0
aaron holiday,2021,2858611.0
aaron holiday,2022,4602900.0
aaron holiday,2023,2086832.0
aaron holiday,2024,2416341.0
aaron jackson,2018,4608.0
aaron jackson,2020,1378242.0
aaron nesmith,2021,4214722.0
aaron nesmith,2022,4198929.0
aaron nesmith,2023,4033717.0
aaron nesmith,2024,5801673.0
aaron wiggins,2022,1509913.0
aaron wiggins,2023,1657779.0
aaron wiggins,2024,1890653.0
abdel nader,2018,1167333.0
abdel nader,2019,1378242.0
abdel nader,2020,1618520.0
abdel nader,2021,2136305.0
abdel nader,2022,2312695.0
adam flagler,2024,212015.0
adam mokoka,2021,547332.0
adama sanogo,2024,576415.0
ade murkey,2022,61489.0
admiral schofield,2020,1000000.0
admiral schofield,2021,1849950.0
admiral schofield,2022,836895.0
admiral schofield,2023,930869.0
admiral schofield,2024,576415.0
adonis thomas,2016,845059.0
adreian payne,2016,1938840.0
adreian payne,2017,2022240.0
ahmad caver,2022,61489.0
aj green,2023,539571.0
aj green,2024,1958278.0
aj griffin,2023,3749348.0
aj griffin,2024,3823245.0
aj hammons,2017,650000.0
aj hammons,2018,1312611.0
aj hammons,2021,426648.0
aj lawson,2023,393824.0
aj lawson,2024,1029713.0
al farouq aminu,2016,8042895.0
al farouq aminu,2017,7680965.0
al farouq aminu,2018,7319035.0
al farouq aminu,2019,6957105.0
al farouq aminu,2020,9258000.0
al farouq aminu,2021,11846777.0
al farouq aminu,2022,11951569.0
al horford,2016,12000000.0
al horford,2017,26540100.0
al horford,2018,27734406.0
al horford,2019,28928709.0
al horford,2020,28000000.0
al horford,2021,33514014.0
al horford,2022,31221383.0
al horford,2023,28097632.0
al horford,2024,10297139.0
al jefferson,2016,13500000.0
al jefferson,2017,10314532.0
al jefferson,2018,10000000.0
alan anderson,2016,4000000.0
alan anderson,2017,980431.0
alan williams,2016,83397.0
alan williams,2017,874636.0
alan williams,2018,6000000.0
alan williams,2019,5000000.0
alec burks,2016,9463484.0
alec burks,2017,10154495.0
alec burks,2018,10845506.0
alec burks,2019,11536515.0
alec burks,2020,1620564.0
alec burks,2021,7312148.0
alec burks,2022,11026930.0
alec burks,2023,10616451.0
alec burks,2024,10801287.0
aleem ford,2022,61489.0
aleksej pokusevski,2021,3613225.0
aleksej pokusevski,2022,3599894.0
aleksej pokusevski,2023,3458108.0
aleksej pokusevski,2024,5740458.0
alen smailagic,2020,898310.0
alen smailagic,2021,1849950.0
alex abrines,2017,5994764.0
alex abrines,2018,5725000.0
alex abrines,2019,5455236.0
alex abrines,2020,5455236.0
alex caruso,2017,543471.0
alex caruso,2020,2750000.0
alex caruso,2021,3351401.0
alex caruso,2022,9944588.0
alex caruso,2023,9574400.0
alex caruso,2024,9741094.0
alex fudge,2024,387588.0
alex hamilton,2018,815615.0
alex len,2016,3807120.0
alex len,2017,4823621.0
alex len,2018,4187599.0
alex len,2019,4350000.0
alex len,2020,4160000.0
alex len,2021,4838994.0
alex len,2022,4315489.0
alex len,2023,4154844.0
alex len,2024,3291427.0
alex poythress,2017,35166.0
alex poythress,2018,1378242.0
alex poythress,2019,1544951.0
alexis ajinca,2016,4389607.0
alexis ajinca,2017,4638203.0
alexis ajinca,2018,4961798.0
alexis ajinca,2019,5285394.0
alexis ajinca,2020,5285394.0
alfonzo mckinnie,2018,1378242.0
alfonzo mckinnie,2019,1349383.0
alfonzo mckinnie,2020,1500000.0
alfonzo mckinnie,2021,2148304.0
alfonzo mckinnie,2022,1260426.0
alize johnson,2019,838464.0
alize johnson,2020,1416852.0
alize johnson,2021,757522.0
alize johnson,2022,1160670.0
alize johnson,2023,203885.0
allen crabbe,2016,947276.0
allen crabbe,2017,18500000.0
allen crabbe,2018,18500000.0
allen crabbe,2019,18500000.0
allen crabbe,2020,18500000.0
allonzo trier,2019,3382000.0
allonzo trier,2020,3551000.0
alondes williams,2023,269786.0
alondes williams,2024,218640.0
alonzo gee,2016,1320000.0
alonzo gee,2017,57672.0
alonzo gee,2018,57672.0
alperen sengun,2022,3717287.0
alperen sengun,2023,3578853.0
alperen sengun,2024,3641356.0
amare stoudemire,2016,947276.0
amari bailey,2024,576415.0
amen thompson,2024,9071042.0
amida brimah,2021,149967.0
amile jefferson,2018,4608.0
amile jefferson,2020,1529007.0
amir coffey,2021,705429.0
amir coffey,2022,663253.0
amir coffey,2023,3599743.0
amir coffey,2024,3775618.0
amir johnson,2016,12000000.0
amir johnson,2017,12000000.0
amir johnson,2019,1512601.0
anderson varejao,2016,289755.0
anderson varejao,2017,980431.0
anderson varejao,2018,980431.0
anderson varejao,2021,2610087.0
andre drummond,2016,3272091.0
andre drummond,2017,22116750.0
andre drummond,2018,25434263.0
andre drummond,2019,25434263.0
andre drummond,2020,27093019.0
andre drummond,2021,35039540.0
andre drummond,2022,2777011.0
andre drummond,2023,3392921.0
andre drummond,2024,3459838.0
andre iguodala,2016,11710456.0
andre iguodala,2017,11131368.0
andre iguodala,2018,14814815.0
andre iguodala,2019,16000000.0
andre iguodala,2020,17185185.0
andre iguodala,2021,18280371.0
andre iguodala,2022,3054712.0
andre iguodala,2023,3081038.0
andre ingram,2018,13824.0
andre jackson,2024,1152829.0
andre miller,2016,250750.0
andre roberson,2016,1210800.0
andre roberson,2017,2183072.0
andre roberson,2018,9259260.0
andre roberson,2019,10000000.0
andre roberson,2020,10740740.0
andre roberson,2021,501660.0
andrea bargnani,2016,1362897.0
andrew andrews,2017,543471.0
andrew andrews,2018,543471.0
andrew bogut,2016,13800000.0
andrew bogut,2017,242224.0
andrew bogut,2018,1471382.0
andrew bogut,2019,307648.0
andrew funk,2024,165636.0
andrew goudelock,2016,200600.0
andrew goudelock,2017,1015696.0
andrew goudelock,2018,1015696.0
andrew harrison,2017,945000.0
andrew harrison,2018,1312611.0
andrew harrison,2019,1544951.0
andrew nembhard,2023,2379403.0
andrew nembhard,2024,2195252.0
andrew nicholson,2016,2380593.0
andrew nicholson,2017,6088993.0
andrew nicholson,2018,6362998.0
andrew nicholson,2021,3466481.0
andrew nicholson,2022,3289148.0
andrew nicholson,2023,3015913.0
andrew nicholson,2024,2928948.0
andrew white,2021,30467.0
andrew wiggins,2016,5758680.0
andrew wiggins,2017,6006600.0
andrew wiggins,2018,7574323.0
andrew wiggins,2019,25467250.0
andrew wiggins,2020,27504630.0
andrew wiggins,2021,36002595.0
andrew wiggins,2022,36516749.0
andrew wiggins,2023,35643458.0
andrew wiggins,2024,25053308.0
anfernee simons,2019,1760520.0
anfernee simons,2020,2149560.0
anfernee simons,2021,2744541.0
anfernee simons,2022,4554642.0
anfernee simons,2023,23667143.0
anfernee simons,2024,24823461.0
ante zizic,2018,1952760.0
ante zizic,2019,1952760.0
ante zizic,2020,2281800.0
anthony barber,2017,543471.0
anthony barber,2018,543471.0
anthony barber,2022,61489.0
anthony bennett,2016,947276.0
anthony bennett,2017,1015696.0
anthony bennett,2018,1015696.0
anthony black,2024,7460771.0
anthony brown,2016,700000.0
anthony brown,2017,57672.0
anthony davis,2016,7070730.0
anthony davis,2017,22116750.0
anthony davis,2018,23775506.0
anthony davis,2019,25434263.0
anthony davis,2020,27093018.0
anthony davis,2021,39902395.0
anthony davis,2022,40890021.0
anthony davis,2023,40270501.0
anthony davis,2024,41806469.0
anthony edwards,2021,11891308.0
anthony edwards,2022,11847335.0
anthony edwards,2023,11380495.0
anthony edwards,2024,13936990.0
anthony gill,2021,1094762.0
anthony gill,2022,1755313.0
anthony gill,2023,1946784.0
anthony gill,2024,2056583.0
anthony lamb,2021,262420.0
anthony lamb,2022,157372.0
anthony lamb,2023,736770.0
anthony morrow,2016,3344000.0
anthony morrow,2017,3488000.0
anthony morrow,2018,1471382.0
anthony tolliver,2016,3000000.0
anthony tolliver,2017,8000000.0
anthony tolliver,2018,3290000.0
anthony tolliver,2019,4750000.0
anthony tolliver,2020,183115.0
anthony tolliver,2021,749297.0
anthony tolliver,2022,175557.0
antonio blakeney,2019,1349383.0
antonio blakeney,2020,1588231.0
antonius cleveland,2018,1378242.0
antonius cleveland,2019,1378242.0
anzejs pasecniks,2020,482144.0
anzejs pasecniks,2021,456152.0
archie goodwin,2016,1160160.0
archie goodwin,2017,75000.0
