player_slug,player_name,canonical_name,season_end,war
abrinal01,Alex Abrines,alex abrines,2017,1.249007678
abrinal01,Alex Abrines,alex abrines,2018,0.77730446
abrinal01,Alex Abrines,alex abrines,2019,0.17816732
achiupr01,Precious Achiuwa,precious achiuwa,2021,-0.2460550507480741
achiupr01,Precious Achiuwa,precious achiuwa,2022,2.262658045779584
acyqu01,Quincy Acy,quincy acy,2017,0.835632018
acyqu01,Quincy Acy,quincy acy,2018,-0.08123232
acyqu01,Quincy Acy,quincy acy,2019,0.135231411
adamsja01,Jaylen Adams,jaylen adams,2019,-0.733513242
adamsja01,Jaylen Adams,jaylen adams,2020,0.18028881579138
adamsja01,Jaylen Adams,jaylen adams,2021,-0.1395909669229828
adamsst01,Steven Adams,steven adams,2017,3.775858111
adamsst01,Steven Adams,steven adams,2018,7.34142524
adamsst01,Steven Adams,steven adams,2019,6.601450742
adamsst01,Steven Adams,steven adams,2020,4.54277467686944
adamsst01,Steven Adams,steven adams,2021,2.630392460475527
adamsst01,Steven Adams,steven adams,2022,5.263587097232344
adebaba01,Bam Adebayo,bam adebayo,2018,1.172123132
adebaba01,Bam Adebayo,bam adebayo,2019,3.451223821
adebaba01,Bam Adebayo,bam adebayo,2020,7.75591618685973
adebaba01,Bam Adebayo,bam adebayo,2021,5.406504063603092
adebaba01,Bam Adebayo,bam adebayo,2022,8.275218537607781
adelde01,Deng Adel,deng adel,2019,-0.29588577
afflaar01,Arron Afflalo,arron afflalo,2017,-2.593034888
afflaar01,Arron Afflalo,arron afflalo,2018,-0.562242617
ajincal01,Alexis Ajinca,alexis ajinca,2017,-0.136314643
akoonde01,DeVaughn Akoon-Purcell,devaughn akoon purcell,2019,-0.005555579
aldamsa01,Santi Aldama,santi aldama,2022,-0.354748465790142
aldrico01,Cole Aldrich,cole aldrich,2017,0.144464506
aldrico01,Cole Aldrich,cole aldrich,2018,-0.205863423
aldrila01,LaMarcus Aldridge,lamarcus aldridge,2017,3.437144984
aldrila01,LaMarcus Aldridge,lamarcus aldridge,2018,9.076819119
aldrila01,LaMarcus Aldridge,lamarcus aldridge,2019,7.137532501
aldrila01,LaMarcus Aldridge,lamarcus aldridge,2020,2.53091736752676
aldrila01,LaMarcus Aldridge,lamarcus aldridge,2021,-0.1676647867116067
aldrila01,LaMarcus Aldridge,lamarcus aldridge,2022,2.319517969225026
alexaky01,Kyle Alexander,kyle alexander,2020,-0.047024875011871
alexani01,Nickeil Alexander-Walker,nickeil alexander walker,2020,-0.144990432805792
alexani01,Nickeil Alexander-Walker,nickeil alexander walker,2021,1.087195882880593
alexani01,Nickeil Alexander-Walker,nickeil alexander walker,2022,-0.1984664678446322
alexaty01,Ty-Shon Alexander,ty shon alexander,2021,-0.0672346612822402
alkinra01,Rawle Alkins,rawle alkins,2019,-0.180513697
allengr01,Grayson Allen,grayson allen,2019,-1.679755396
allengr01,Grayson Allen,grayson allen,2020,0.497797958711192
allengr01,Grayson Allen,grayson allen,2021,1.81788853796361
allengr01,Grayson Allen,grayson allen,2022,3.122603752274343
allenja01,Jarrett Allen,jarrett allen,2018,-0.956236725
allenja01,Jarrett Allen,jarrett allen,2019,-2.06663699
allenja01,Jarrett Allen,jarrett allen,2020,5.25173861640531
allenja01,Jarrett Allen,jarrett allen,2021,3.528934388569454
allenja01,Jarrett Allen,jarrett allen,2022,6.460446751955602
allenka01,Kadeem Allen,kadeem allen,2018,-0.268439635
allenka01,Kadeem Allen,kadeem allen,2019,0.801390513
allenka01,Kadeem Allen,kadeem allen,2020,0.344584004645043
allenla01,Lavoy Allen,lavoy allen,2017,0.658282028
allento01,Tony Allen,tony allen,2017,4.148433717
allento01,Tony Allen,tony allen,2018,-0.031765185
alvarjo01,Jose Alvarado,jose alvarado,2022,3.669789400350585
aminual01,Al-Farouq Aminu,al farouq aminu,2017,3.802896234
aminual01,Al-Farouq Aminu,al farouq aminu,2018,4.759255562
aminual01,Al-Farouq Aminu,al farouq aminu,2019,5.0258856
aminual01,Al-Farouq Aminu,al farouq aminu,2020,0.079502820058186
aminual01,Al-Farouq Aminu,al farouq aminu,2021,0.4506629594549914
anderal01,Alan Anderson,alan anderson,2017,-0.710220716
anderch01,Chris Andersen,chris andersen,2017,0.084746752
anderju01,Justin Anderson,justin anderson,2017,0.451296847
anderju01,Justin Anderson,justin anderson,2018,0.353191785
anderju01,Justin Anderson,justin anderson,2019,0.060024256
anderju01,Justin Anderson,justin anderson,2020,0.130703084717792
anderju01,Justin Anderson,justin anderson,2022,-0.3504605332475533
anderky01,Kyle Anderson,kyle anderson,2017,2.855148252
anderky01,Kyle Anderson,kyle anderson,2018,5.713083694
anderky01,Kyle Anderson,kyle anderson,2019,1.904689771
anderky01,Kyle Anderson,kyle anderson,2020,1.7104254007473
anderky01,Kyle Anderson,kyle anderson,2021,6.032772565964784
anderky01,Kyle Anderson,kyle anderson,2022,1.876176607307193
anderry01,Ryan Anderson,ryan anderson,2017,3.743713308
anderry01,Ryan Anderson,ryan anderson,2018,2.652481683
anderry01,Ryan Anderson,ryan anderson,2019,-0.390995326
anderry01,Ryan Anderson,ryan anderson,2020,-0.038418014807237
anigbik01,Ike Anigbogu,ike anigbogu,2018,-0.160587652
anigbik01,Ike Anigbogu,ike anigbogu,2019,-0.156443358
antetgi01,Giannis Antetokounmpo,giannis antetokounmpo,2017,12.5596554
antetgi01,Giannis Antetokounmpo,giannis antetokounmpo,2018,12.90944367
antetgi01,Giannis Antetokounmpo,giannis antetokounmpo,2019,14.26986143
antetgi01,Giannis Antetokounmpo,giannis antetokounmpo,2020,13.1496126749663
antetgi01,Giannis Antetokounmpo,giannis antetokounmpo,2021,13.6667962151266
antetgi01,Giannis Antetokounmpo,giannis antetokounmpo,2022,14.97824984891317
antetko01,Kostas Antetokounmpo,kostas antetokounmpo,2019,0.07316733
antetko01,Kostas Antetokounmpo,kostas antetokounmpo,2020,0.010377530179352
antetko01,Kostas Antetokounmpo,kostas antetokounmpo,2021,-0.0458671549930535
antetth01,Thanasis Antetokounmpo,thanasis antetokounmpo,2020,0.046575076444123
antetth01,Thanasis Antetokounmpo,thanasis antetokounmpo,2021,0.5289157304299132
antetth01,Thanasis Antetokounmpo,thanasis antetokounmpo,2022,-0.2699030053389405
anthoca01,Carmelo Anthony,carmelo anthony,2017,2.032332401
anthoca01,Carmelo Anthony,carmelo anthony,2018,2.687007984
anthoca01,Carmelo Anthony,carmelo anthony,2019,-0.357080567
anthoca01,Carmelo Anthony,carmelo anthony,2020,-1.68435450363959
anthoca01,Carmelo Anthony,carmelo anthony,2021,0.1680540909579983
anthoca01,Carmelo Anthony,carmelo anthony,2022,0.9805771759766458
anthoco01,Cole Anthony,cole anthony,2021,-1.54304640240434
anthoco01,Cole Anthony,cole anthony,2022,0.6991643180040022
anthojo01,Joel Anthony,joel anthony,2017,-0.103013901
anunoog01,OG Anunoby,og anunoby,2018,3.051082432
anunoog01,OG Anunoby,og anunoby,2019,-0.620124917
anunoog01,OG Anunoby,og anunoby,2020,4.64909263248475
anunoog01,OG Anunoby,og anunoby,2021,3.821526409939356
anunoog01,OG Anunoby,og anunoby,2022,2.74299909255406
arcidry01,Ryan Arcidiacono,ryan arcidiacono,2018,-0.149061981
arcidry01,Ryan Arcidiacono,ryan arcidiacono,2019,2.227069655
arcidry01,Ryan Arcidiacono,ryan arcidiacono,2020,1.82429420797848
arcidry01,Ryan Arcidiacono,ryan arcidiacono,2021,0.7209102453569359
